profile,run_role,material,source_id,source_mode,mono_energy_keV,thickness_mm,random_seed,expected_events,config_path,output_prefix,output_dir
es2,material,Calcite,mono_40kev,mono,40.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_40kev_10mm_seed202.txt,ms_es2_calcite_mono_40kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_50kev,mono,50.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_50kev_10mm_seed101.txt,ms_es2_calcite_mono_50kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_50kev,mono,50.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_50kev_10mm_seed202.txt,ms_es2_calcite_mono_50kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_60kev,mono,60.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_60kev_10mm_seed101.txt,ms_es2_calcite_mono_60kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_60kev,mono,60.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_60kev_10mm_seed202.txt,ms_es2_calcite_mono_60kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_70kev,mono,70.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_70kev_10mm_seed101.txt,ms_es2_calcite_mono_70kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_70kev,mono,70.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_70kev_10mm_seed202.txt,ms_es2_calcite_mono_70kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_80kev,mono,80.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_80kev_10mm_seed101.txt,ms_es2_calcite_mono_80kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_80kev,mono,80.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_80kev_10mm_seed202.txt,ms_es2_calcite_mono_80kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_90kev,mono,90.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_90kev_10mm_seed101.txt,ms_es2_calcite_mono_90kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_90kev,mono,90.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_90kev_10mm_seed202.txt,ms_es2_calcite_mono_90kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_100kev,mono,100.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_100kev_10mm_seed101.txt,ms_es2_calcite_mono_100kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_100kev,mono,100.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_100kev_10mm_seed202.txt,ms_es2_calcite_mono_100kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_110kev,mono,110.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_110kev_10mm_seed101.txt,ms_es2_calcite_mono_110kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_110kev,mono,110.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_110kev_10mm_seed202.txt,ms_es2_calcite_mono_110kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_120kev,mono,120.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_120kev_10mm_seed101.txt,ms_es2_calcite_mono_120kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_120kev,mono,120.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_120kev_10mm_seed202.txt,ms_es2_calcite_mono_120kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_150kev,mono,150.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_150kev_10mm_seed101.txt,ms_es2_calcite_mono_150kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_150kev,mono,150.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_150kev_10mm_seed202.txt,ms_es2_calcite_mono_150kev_10mm_seed202,material_sorting_runs/es2
es2,material,Calcite,mono_200kev,mono,200.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_200kev_10mm_seed101.txt,ms_es2_calcite_mono_200kev_10mm_seed101,material_sorting_runs/es2
es2,material,Calcite,mono_200kev,mono,200.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_200kev_10mm_seed202.txt,ms_es2_calcite_mono_200kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_30kev,mono,30.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_30kev_10mm_seed101.txt,ms_es2_orthoclase_mono_30kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_30kev,mono,30.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_30kev_10mm_seed202.txt,ms_es2_orthoclase_mono_30kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_40kev,mono,40.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_40kev_10mm_seed101.txt,ms_es2_orthoclase_mono_40kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_40kev,mono,40.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_40kev_10mm_seed202.txt,ms_es2_orthoclase_mono_40kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_50kev,mono,50.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_50kev_10mm_seed101.txt,ms_es2_orthoclase_mono_50kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_50kev,mono,50.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_50kev_10mm_seed202.txt,ms_es2_orthoclase_mono_50kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_60kev,mono,60.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_60kev_10mm_seed101.txt,ms_es2_orthoclase_mono_60kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_60kev,mono,60.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_60kev_10mm_seed202.txt,ms_es2_orthoclase_mono_60kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_70kev,mono,70.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_70kev_10mm_seed101.txt,ms_es2_orthoclase_mono_70kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_70kev,mono,70.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_70kev_10mm_seed202.txt,ms_es2_orthoclase_mono_70kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_80kev,mono,80.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_80kev_10mm_seed101.txt,ms_es2_orthoclase_mono_80kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_80kev,mono,80.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_80kev_10mm_seed202.txt,ms_es2_orthoclase_mono_80kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_90kev,mono,90.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_90kev_10mm_seed101.txt,ms_es2_orthoclase_mono_90kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_90kev,mono,90.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_90kev_10mm_seed202.txt,ms_es2_orthoclase_mono_90kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_100kev,mono,100.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_100kev_10mm_seed101.txt,ms_es2_orthoclase_mono_100kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_100kev,mono,100.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_100kev_10mm_seed202.txt,ms_es2_orthoclase_mono_100kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_110kev,mono,110.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_110kev_10mm_seed101.txt,ms_es2_orthoclase_mono_110kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_110kev,mono,110.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_110kev_10mm_seed202.txt,ms_es2_orthoclase_mono_110kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_120kev,mono,120.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_120kev_10mm_seed101.txt,ms_es2_orthoclase_mono_120kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_120kev,mono,120.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_120kev_10mm_seed202.txt,ms_es2_orthoclase_mono_120kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_150kev,mono,150.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_150kev_10mm_seed101.txt,ms_es2_orthoclase_mono_150kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_150kev,mono,150.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_150kev_10mm_seed202.txt,ms_es2_orthoclase_mono_150kev_10mm_seed202,material_sorting_runs/es2
es2,material,Orthoclase,mono_200kev,mono,200.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_200kev_10mm_seed101.txt,ms_es2_orthoclase_mono_200kev_10mm_seed101,material_sorting_runs/es2
es2,material,Orthoclase,mono_200kev,mono,200.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_orthoclase_mono_200kev_10mm_seed202.txt,ms_es2_orthoclase_mono_200kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_30kev,mono,30.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_30kev_10mm_seed101.txt,ms_es2_albite_mono_30kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_30kev,mono,30.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_30kev_10mm_seed202.txt,ms_es2_albite_mono_30kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_40kev,mono,40.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_40kev_10mm_seed101.txt,ms_es2_albite_mono_40kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_40kev,mono,40.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_40kev_10mm_seed202.txt,ms_es2_albite_mono_40kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_50kev,mono,50.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_50kev_10mm_seed101.txt,ms_es2_albite_mono_50kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_50kev,mono,50.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_50kev_10mm_seed202.txt,ms_es2_albite_mono_50kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_60kev,mono,60.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_60kev_10mm_seed101.txt,ms_es2_albite_mono_60kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_60kev,mono,60.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_60kev_10mm_seed202.txt,ms_es2_albite_mono_60kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_70kev,mono,70.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_70kev_10mm_seed101.txt,ms_es2_albite_mono_70kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_70kev,mono,70.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_70kev_10mm_seed202.txt,ms_es2_albite_mono_70kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_80kev,mono,80.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_80kev_10mm_seed101.txt,ms_es2_albite_mono_80kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_80kev,mono,80.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_80kev_10mm_seed202.txt,ms_es2_albite_mono_80kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_90kev,mono,90.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_90kev_10mm_seed101.txt,ms_es2_albite_mono_90kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_90kev,mono,90.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_90kev_10mm_seed202.txt,ms_es2_albite_mono_90kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_100kev,mono,100.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_100kev_10mm_seed101.txt,ms_es2_albite_mono_100kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_100kev,mono,100.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_100kev_10mm_seed202.txt,ms_es2_albite_mono_100kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_110kev,mono,110.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_110kev_10mm_seed101.txt,ms_es2_albite_mono_110kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_110kev,mono,110.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_110kev_10mm_seed202.txt,ms_es2_albite_mono_110kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_120kev,mono,120.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_120kev_10mm_seed101.txt,ms_es2_albite_mono_120kev_10mm_seed101,material_sorting_runs/es2
es2,material,Albite,mono_120kev,mono,120.0,10.0,202,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_120kev_10mm_seed202.txt,ms_es2_albite_mono_120kev_10mm_seed202,material_sorting_runs/es2
es2,material,Albite,mono_150kev,mono,150.0,10.0,101,5000,source_models/config/material_sorting_matrix/es2/ms_es2_albite_mono_150kev_10mm_seed101.txt,ms_es2_albite_mono_150kev_10mm_seed101,material_sorting_runs/es2
