material,source_id,thickness_mm,random_seed,run_id,sample_id,n_events,event_id_min,event_id_max,edep_sum,edep_mean,edep_std,edep_max,detector_gamma_sum,primary_gamma_sum,nonzero_edep_rate,detector_gamma_rate,primary_transmission_rate,hit_count,hit_energy_mean,hit_energy_std,hit_energy_min,hit_energy_max,primary_hit_rate,direct_primary_count,scattered_primary_count,theta_mean,theta_std,y_mean,y_std,z_mean,z_std,r_mean,r_std,e_lt40_count,e_40_80_count,e_ge80_count,hit_count_rate,direct_primary_count_rate,scattered_primary_count_rate,e_lt40_count_rate,e_40_80_count_rate,e_ge80_count_rate,scatter_direct_ratio
Quartz,spectrum_120kv,10.0,0,legacy_quartz,34,100,3400,3499,567.686962,5.67686962,15.963318003264842,70.5,33,33,0.14,0.33,0.33,33.0,60.68181818181818,18.732415997166758,32.5,93.5,1.0,30.0,3.0,1.3126507272727272,4.777815694548649,2.5093460606060605,13.138452401539288,-2.274642545454546,18.73276481003061,9.814342892420363,20.881410882598118,6.0,20.0,7.0,0.33,0.3,0.03,0.06,0.2,0.07,0.09999999666666677
Quartz,spectrum_120kv,10.0,0,legacy_quartz,35,100,3500,3599,317.467355,3.17467355,10.35431380091568,52.5,31,31,0.11,0.31,0.31,31.0,60.77052829032258,21.436177355858266,27.5,111.886377,1.0,27.0,4.0,1.604308387096774,4.756002835396483,-1.5238270322580647,14.186035800228783,4.322075580645161,17.574947763876796,10.763696651705134,20.300389040249023,7.0,19.0,5.0,0.31,0.27,0.04,0.07,0.19,0.05,0.1481481426611799
Quartz,spectrum_120kv,10.0,0,legacy_quartz,36,100,3600,3699,449.785728,4.49785728,13.951395384298134,75.5,36,36,0.13,0.36,0.36,36.0,61.656695500000005,25.000608957410567,29.5,114.5,1.0,33.0,3.0,1.6105150555555556,5.513274141594867,-1.0538890833333336,19.35757731213566,-3.863294722222223,17.71468970255909,10.363923883040282,24.3831934126332,10.0,18.0,8.0,0.36,0.33,0.03,0.1,0.18,0.08,0.09090908815427007
Quartz,spectrum_120kv,10.0,0,legacy_quartz,37,100,3700,3799,257.580227,2.5758022699999996,10.071234827380163,54.5,46,46,0.1,0.46,0.46,46.0,64.86140713043478,22.308289193861278,30.5,115.5,1.0,42.0,4.0,1.2052807173913045,4.0970183758149386,-0.6047991086956523,11.027208684322218,-2.4191684347826086,16.02923805064044,8.735583802379354,17.51816004719134,3.0,31.0,12.0,0.46,0.42,0.04,0.03,0.31,0.12,0.0952380929705216
Quartz,spectrum_120kv,10.0,0,legacy_quartz,38,100,3800,3899,327.611585,3.27611585,12.941963868750477,85.5,23,23,0.09,0.23,0.23,23.0,56.67391304347826,18.054594413795076,35.5,100.5,1.0,22.0,1.0,0.3622397391304348,1.737240759918315,1.8147095217391302,6.66599100415508,-0.688987652173913,6.1583839630369575,5.2382940901023884,7.5903415973903465,1.0,19.0,3.0,0.23,0.22,0.01,0.01,0.19,0.03,0.045454543388429844
Quartz,spectrum_120kv,10.0,0,legacy_quartz,39,100,3900,3999,564.313,5.64313,16.587075114949048,81.5,45,45,0.15,0.45,0.45,45.0,68.69476268888889,19.51090514294436,37.5,113.5,1.0,43.0,2.0,0.7217838666666667,3.5785917891025836,-0.8550154000000002,14.958881807633418,1.5217988222222223,9.11346431243732,7.1913496058541755,16.032737954377858,3.0,27.0,15.0,0.45,0.43,0.02,0.03,0.27,0.15,0.04651162682531101
Quartz,spectrum_120kv,10.0,0,legacy_quartz,40,100,4000,4099,450.252221,4.50252221,14.413067033786747,69.5,38,38,0.13,0.38,0.38,38.0,65.49308452631578,18.527086510658993,33.5,99.5,1.0,32.0,6.0,1.8846262631578947,5.186044990036312,1.0315287894736842,16.645772178356776,-1.531216789473684,18.059759896572587,11.467039108293749,21.718439433627648,3.0,23.0,12.0,0.38,0.32,0.06,0.03,0.23,0.12,0.1874999941406252
Quartz,spectrum_120kv,10.0,0,legacy_quartz,41,100,4100,4199,360.046979,3.60046979,11.891623697068491,63.5,33,33,0.11,0.33,0.33,33.0,63.68181818181818,20.72355927660374,30.5,116.5,1.0,33.0,0.0,0.0,0.0,-0.6848032727272728,2.4782936383268357,-1.089265909090909,2.42453269345871,3.4224950115706405,1.2837323579914304,4.0,23.0,6.0,0.33,0.33,0.0,0.04,0.23,0.06,0.0
Quartz,spectrum_120kv,10.0,0,legacy_quartz,42,100,4200,4299,481.193136,4.81193136,14.778081266350192,71.5,49,49,0.14,0.49,0.49,49.0,62.86449536734693,18.749987053485047,30.5,114.5,1.0,45.0,4.0,1.0216587959183674,3.865894935893979,2.024519,12.857610794792294,-0.6923585918367348,14.479884136311595,8.85375275425219,17.310013651953486,5.0,35.0,9.0,0.49,0.45,0.04,0.05,0.35,0.09,0.0888888869135803
Quartz,spectrum_120kv,10.0,0,legacy_quartz,43,100,4300,4399,363.415063,3.6341506299999997,11.90474018583337,61.5,35,35,0.1,0.35,0.35,35.0,61.18571428571428,18.692199424565615,31.5,102.5,1.0,35.0,0.0,0.008944028571428573,0.05291358661089391,0.09007625714285715,3.2042185289458582,0.2096872571428571,3.1536849456098306,4.159874859364529,1.5661554757502223,8.0,22.0,5.0,0.35,0.35,0.0,0.08,0.22,0.05,0.0
