row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
84,selected_rebuild,material,Calcite,mono_50kev,10.0,505,0,2.970,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_10mm_seed505.txt,ms_selected_rebuild_calcite_mono_50kev_10mm_seed505
85,selected_rebuild,material,Calcite,mono_120kev,10.0,101,0,3.109,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_10mm_seed101.txt,ms_selected_rebuild_calcite_mono_120kev_10mm_seed101
86,selected_rebuild,material,Calcite,mono_120kev,10.0,202,0,3.004,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_10mm_seed202.txt,ms_selected_rebuild_calcite_mono_120kev_10mm_seed202
87,selected_rebuild,material,Calcite,mono_120kev,10.0,303,0,2.866,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_10mm_seed303.txt,ms_selected_rebuild_calcite_mono_120kev_10mm_seed303
88,selected_rebuild,material,Calcite,mono_120kev,10.0,404,0,2.855,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_10mm_seed404.txt,ms_selected_rebuild_calcite_mono_120kev_10mm_seed404
89,selected_rebuild,material,Calcite,mono_120kev,10.0,505,0,3.013,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_120kev_10mm_seed505.txt,ms_selected_rebuild_calcite_mono_120kev_10mm_seed505
90,selected_rebuild,material,Calcite,mono_40kev,20.0,101,0,3.220,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_20mm_seed101.txt,ms_selected_rebuild_calcite_mono_40kev_20mm_seed101
91,selected_rebuild,material,Calcite,mono_40kev,20.0,202,0,3.489,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_20mm_seed202.txt,ms_selected_rebuild_calcite_mono_40kev_20mm_seed202
92,selected_rebuild,material,Calcite,mono_40kev,20.0,303,0,3.297,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_20mm_seed303.txt,ms_selected_rebuild_calcite_mono_40kev_20mm_seed303
93,selected_rebuild,material,Calcite,mono_40kev,20.0,404,0,2.986,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_20mm_seed404.txt,ms_selected_rebuild_calcite_mono_40kev_20mm_seed404
94,selected_rebuild,material,Calcite,mono_40kev,20.0,505,0,2.979,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_40kev_20mm_seed505.txt,ms_selected_rebuild_calcite_mono_40kev_20mm_seed505
95,selected_rebuild,material,Calcite,mono_50kev,20.0,101,0,5.253,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_20mm_seed101.txt,ms_selected_rebuild_calcite_mono_50kev_20mm_seed101
96,selected_rebuild,material,Calcite,mono_50kev,20.0,202,0,3.463,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_20mm_seed202.txt,ms_selected_rebuild_calcite_mono_50kev_20mm_seed202
97,selected_rebuild,material,Calcite,mono_50kev,20.0,303,0,3.693,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_20mm_seed303.txt,ms_selected_rebuild_calcite_mono_50kev_20mm_seed303
98,selected_rebuild,material,Calcite,mono_50kev,20.0,404,0,5.997,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_20mm_seed404.txt,ms_selected_rebuild_calcite_mono_50kev_20mm_seed404
99,selected_rebuild,material,Calcite,mono_50kev,20.0,505,0,4.151,source_models/config/material_sorting_matrix/selected_rebuild/ms_selected_rebuild_calcite_mono_50kev_20mm_seed505.txt,ms_selected_rebuild_calcite_mono_50kev_20mm_seed505
