row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
66,full,material,Orthoclase,mono_100kev,5.0,101,0,5.079,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_5mm_seed101.txt,ms_full_orthoclase_mono_100kev_5mm_seed101
67,full,material,Orthoclase,mono_100kev,5.0,202,0,3.742,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_5mm_seed202.txt,ms_full_orthoclase_mono_100kev_5mm_seed202
68,full,material,Orthoclase,mono_100kev,5.0,303,0,4.644,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_5mm_seed303.txt,ms_full_orthoclase_mono_100kev_5mm_seed303
69,full,material,Orthoclase,spectrum_120kv,5.0,101,0,3.579,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_5mm_seed101.txt,ms_full_orthoclase_spectrum_120kv_5mm_seed101
70,full,material,Orthoclase,spectrum_120kv,5.0,202,0,3.680,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_5mm_seed202.txt,ms_full_orthoclase_spectrum_120kv_5mm_seed202
71,full,material,Orthoclase,spectrum_120kv,5.0,303,0,3.620,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_5mm_seed303.txt,ms_full_orthoclase_spectrum_120kv_5mm_seed303
72,full,material,Orthoclase,mono_60kev,10.0,101,0,7.260,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_10mm_seed101.txt,ms_full_orthoclase_mono_60kev_10mm_seed101
73,full,material,Orthoclase,mono_60kev,10.0,202,0,6.948,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_10mm_seed202.txt,ms_full_orthoclase_mono_60kev_10mm_seed202
74,full,material,Orthoclase,mono_60kev,10.0,303,0,6.414,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_10mm_seed303.txt,ms_full_orthoclase_mono_60kev_10mm_seed303
75,full,material,Orthoclase,mono_100kev,10.0,101,0,4.361,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_10mm_seed101.txt,ms_full_orthoclase_mono_100kev_10mm_seed101
76,full,material,Orthoclase,mono_100kev,10.0,202,0,3.301,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_10mm_seed202.txt,ms_full_orthoclase_mono_100kev_10mm_seed202
77,full,material,Orthoclase,mono_100kev,10.0,303,0,3.142,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_10mm_seed303.txt,ms_full_orthoclase_mono_100kev_10mm_seed303
78,full,material,Orthoclase,spectrum_120kv,10.0,101,0,2.972,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_10mm_seed101.txt,ms_full_orthoclase_spectrum_120kv_10mm_seed101
79,full,material,Orthoclase,spectrum_120kv,10.0,202,0,2.951,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_10mm_seed202.txt,ms_full_orthoclase_spectrum_120kv_10mm_seed202
80,full,material,Orthoclase,spectrum_120kv,10.0,303,0,2.946,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_10mm_seed303.txt,ms_full_orthoclase_spectrum_120kv_10mm_seed303
81,full,material,Orthoclase,mono_60kev,20.0,101,0,2.997,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_20mm_seed101.txt,ms_full_orthoclase_mono_60kev_20mm_seed101
82,full,material,Orthoclase,mono_60kev,20.0,202,0,2.858,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_20mm_seed202.txt,ms_full_orthoclase_mono_60kev_20mm_seed202
83,full,material,Orthoclase,mono_60kev,20.0,303,0,2.941,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_20mm_seed303.txt,ms_full_orthoclase_mono_60kev_20mm_seed303
84,full,material,Orthoclase,mono_100kev,20.0,101,0,3.022,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_20mm_seed101.txt,ms_full_orthoclase_mono_100kev_20mm_seed101
85,full,material,Orthoclase,mono_100kev,20.0,202,0,2.977,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_20mm_seed202.txt,ms_full_orthoclase_mono_100kev_20mm_seed202
86,full,material,Orthoclase,mono_100kev,20.0,303,0,2.936,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_20mm_seed303.txt,ms_full_orthoclase_mono_100kev_20mm_seed303
87,full,material,Orthoclase,spectrum_120kv,20.0,101,0,2.937,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_20mm_seed101.txt,ms_full_orthoclase_spectrum_120kv_20mm_seed101
88,full,material,Orthoclase,spectrum_120kv,20.0,202,0,2.946,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_20mm_seed202.txt,ms_full_orthoclase_spectrum_120kv_20mm_seed202
89,full,material,Orthoclase,spectrum_120kv,20.0,303,0,3.012,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_20mm_seed303.txt,ms_full_orthoclase_spectrum_120kv_20mm_seed303
90,full,material,Albite,mono_60kev,5.0,101,0,3.044,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_5mm_seed101.txt,ms_full_albite_mono_60kev_5mm_seed101
91,full,material,Albite,mono_60kev,5.0,202,0,3.107,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_5mm_seed202.txt,ms_full_albite_mono_60kev_5mm_seed202
92,full,material,Albite,mono_60kev,5.0,303,0,2.988,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_5mm_seed303.txt,ms_full_albite_mono_60kev_5mm_seed303
93,full,material,Albite,mono_100kev,5.0,101,0,3.057,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_5mm_seed101.txt,ms_full_albite_mono_100kev_5mm_seed101
94,full,material,Albite,mono_100kev,5.0,202,0,3.053,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_5mm_seed202.txt,ms_full_albite_mono_100kev_5mm_seed202
95,full,material,Albite,mono_100kev,5.0,303,0,3.127,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_100kev_5mm_seed303.txt,ms_full_albite_mono_100kev_5mm_seed303
96,full,material,Albite,spectrum_120kv,5.0,101,0,3.013,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_5mm_seed101.txt,ms_full_albite_spectrum_120kv_5mm_seed101
97,full,material,Albite,spectrum_120kv,5.0,202,0,3.306,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_5mm_seed202.txt,ms_full_albite_spectrum_120kv_5mm_seed202
98,full,material,Albite,spectrum_120kv,5.0,303,0,3.291,source_models/config/material_sorting_matrix/full/ms_full_albite_spectrum_120kv_5mm_seed303.txt,ms_full_albite_spectrum_120kv_5mm_seed303
99,full,material,Albite,mono_60kev,10.0,101,0,3.079,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_10mm_seed101.txt,ms_full_albite_mono_60kev_10mm_seed101
100,full,material,Albite,mono_60kev,10.0,202,0,2.954,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_10mm_seed202.txt,ms_full_albite_mono_60kev_10mm_seed202
